step,time,drift_vv,drift_rk4
0,0.0,0.0,0.0
1,0.05,8.863289601797678e-09,6.491793442289879e-14
2,0.1,1.824054417712894e-08,1.4054222975847459e-13
3,0.15000000000000002,2.8151978355050336e-08,2.273827127168549e-13
4,0.2,3.861919349326997e-08,3.2526944106133057e-13
5,0.25,4.966522050359114e-08,4.3539201044886565e-13
6,0.30000000000000004,6.131457168429454e-08,5.575804786427511e-13
7,0.35000000000000003,7.359330512824597e-08,6.9319438353666e-13
8,0.4,8.652909100036865e-08,8.417238984204651e-13
9,0.45,1.001512961688771e-07,1.0046985034245486e-12
10,0.5,1.1449107308506697e-07,1.1827979674957474e-12
11,0.55,1.2958146208854145e-07,1.3763621751074796e-12
12,0.6000000000000001,1.4545750781764357e-07,1.5869206063901278e-12
13,0.65,1.62156384117e-07,1.8151530302905286e-12
14,0.7000000000000001,1.7971753508957768e-07,2.062418984702355e-12
15,0.75,1.98182833992675e-07,2.3309277187028266e-12
16,0.8,2.1759675097090956e-07,2.6201694055818154e-12
17,0.8500000000000001,2.3800654696031017e-07,2.933882774546923e-12
18,0.9,2.594624803380767e-07,3.2718978833614403e-12
19,0.9500000000000001,2.8201803719431095e-07,3.63778351899626e-12
20,1.0,3.057301848858335e-07,4.032559334871637e-12
21,1.05,3.306596492119722e-07,4.459624175721753e-12
22,1.1,3.568712209903568e-07,4.9208474061504115e-12
23,1.1500000000000001,3.8443409322231696e-07,5.419627870891793e-12
24,1.2000000000000002,4.1342222935770883e-07,5.958684645733246e-12
25,1.25,4.4391477132622564e-07,6.54192640211908e-12
26,1.3,4.759964903941516e-07,7.172921927020188e-12
27,1.35,5.097582791471372e-07,7.856599545301135e-12
28,1.4000000000000001,5.452976995539125e-07,8.597377755116359e-12
29,1.4500000000000002,5.827195847317476e-07,9.400524765803845e-12
30,1.5,6.221367059697312e-07,1.0272328440121832e-11
31,1.55,6.636705097682518e-07,1.121856681411843e-11
32,1.6,7.074519344114449e-07,1.224705723068226e-11
33,1.6500000000000001,7.536223167789675e-07,1.3366296801648782e-11
34,1.7000000000000002,8.023343961947914e-07,1.4584952581090162e-11
35,1.75,8.537534346864268e-07,1.5913051160972242e-11
36,1.8,9.080584589227882e-07,1.7361978671154532e-11
37,1.85,9.654436506815757e-07,1.8944650721626932e-11
38,1.9000000000000001,1.0261198928138017e-06,2.0675172518036297e-11
39,1.9500000000000002,1.0903165004453567e-06,2.2570028457343423e-11
40,2.0,1.1582831581485654e-06,2.4646382705455928e-11
41,2.0500000000000003,1.230292093333452e-06,2.6924968215252333e-11
42,2.1,1.30664051135005e-06,2.9428897130925086e-11
43,2.15,1.3876533415850047e-06,3.218383073021726e-11
44,2.2,1.4736863210634595e-06,3.52200187312631e-11
45,2.25,1.5651294820036364e-06,3.8569920101274044e-11
46,2.3000000000000003,1.662411086489443e-06,4.2272111727983075e-11
47,2.35,1.766002083545515e-06,4.636958899727761e-11
48,2.4000000000000004,1.8764211605002596e-06,5.0912314926750146e-11
49,2.45,1.994240483804554e-06,5.595739010793495e-11
50,2.5,2.1200922256633465e-06,6.15692226485448e-11
51,2.5500000000000003,2.2546760127738328e-06,6.782309695944185e-11
52,2.6,2.3987674244569465e-06,7.480551363911108e-11
53,2.6500000000000004,2.553227720830755e-06,8.261639872273745e-11
54,2.7,2.7190149942500925e-06,9.137114298904648e-11
55,2.75,2.8971969737743252e-06,1.0120468057398528e-10
56,2.8000000000000003,3.088965762898005e-06,1.122728485086161e-10
57,2.85,3.2956548285063284e-06,1.2475867458187474e-10
58,2.9000000000000004,3.5187586224057903e-06,1.3887560624306788e-10
59,2.95,3.7599552910451576e-06,1.548756678292352e-10
60,3.0,4.021133000587589e-06,1.730538790633038e-10
61,3.0500000000000003,4.304420514617287e-06,1.9375947124171106e-10
62,3.1,4.612222762709756e-06,2.174062537108437e-10
63,3.1500000000000004,4.947262288663568e-06,2.444860393037381e-10
64,3.2,5.312627615211215e-06,2.7558563856375094e-10
65,3.25,5.711829745904149e-06,3.114045337371771e-10
66,3.3000000000000003,6.1488682400139495e-06,3.527864880292776e-10
67,3.35,6.628308523334413e-06,4.007436774018922e-10
68,3.4000000000000004,7.155372358120869e-06,4.5650121543945713e-10
69,3.45,7.736043641479345e-06,5.215442273485738e-10
70,3.5,8.377191963229309e-06,5.976785193365139e-10
71,3.5500000000000003,9.086716506871796e-06,6.87111131231419e-10
72,3.6,9.873712924708624e-06,7.925439746547282e-10
73,3.6500000000000004,1.074866554353177e-05,9.172977209117383e-10
74,3.7,1.1723666481175749e-05,1.065465768658063e-09
75,3.75,1.281266153780927e-05,1.2421055988581667e-09
76,3.8000000000000003,1.4031719425394271e-05,1.4534823020105695e-09
77,3.85,1.5399314922211812e-05,1.7073661470043241e-09
78,3.9000000000000004,1.6936606015511416e-05,2.0134011858304388e-09
79,3.95,1.866766704305636e-05,2.383546423628373e-09
80,4.0,2.061960914631169e-05,2.832587854645245e-09
81,4.05,2.2822467557275384e-05,3.378703690115123e-09
82,4.1000000000000005,2.5308648164250383e-05,4.044012591914651e-09
83,4.15,2.811157963759647e-05,4.854961990573928e-09
84,4.2,3.12629720685677e-05,5.8422573893060374e-09
85,4.25,3.478767152182772e-05,7.039741934840427e-09
86,4.3,3.8694410185889526e-05,8.481125369250726e-09
87,4.3500000000000005,4.2959600180093294e-05,1.0192565711437914e-08
88,4.4,4.7499411618729966e-05,1.217762495068342e-08
89,4.45,5.21222678163999e-05,1.438891996249023e-08
90,4.5,5.64489839629218e-05,1.667811785514241e-08
91,4.55,5.978049148284422e-05,1.8714829507755536e-08
92,4.6000000000000005,6.088362364872059e-05,1.9872824235861346e-08
93,4.65,5.7657143699923346e-05,1.9120392407106025e-08
94,4.7,4.664597402916792e-05,1.5073718689706748e-08
95,4.75,2.242831650633268e-05,6.678121849347008e-09
96,4.800000000000001,2.290680299224846e-05,4.445861573624099e-09
97,4.8500000000000005,9.950136653171235e-05,8.503093292363407e-09
98,4.9,0.00021717208526902317,2.070379962769443e-08
99,4.95,0.00037842908404063296,1.2670594359600097e-07
100,5.0,0.0005668736060991527,3.372357547366227e-07
101,5.050000000000001,0.0007385190924611706,5.852995092665431e-07
102,5.1000000000000005,0.0008326312311747667,6.783344780119534e-07
103,5.15,0.0008081592387883988,4.5831939497104123e-07
104,5.2,0.0006761256510763486,3.9535973740070926e-09
105,5.25,0.0004904416500728073,4.5107593868861716e-07
106,5.300000000000001,0.00030843082239730184,7.563708435559358e-07
107,5.3500000000000005,0.00016307316114152622,9.091251195553125e-07
108,5.4,6.18566110184654e-05,9.690627510909525e-07
109,5.45,1.7748091511571422e-06,9.879388975871354e-07
110,5.5,3.830894549768599e-05,9.932754906615176e-07
111,5.550000000000001,5.714886893985873e-05,9.958631982108699e-07
112,5.6000000000000005,6.519796816576386e-05,9.987161361385343e-07
113,5.65,6.703585541981182e-05,1.0021144676471628e-06
114,5.7,6.552391739939399e-05,1.0056905565261396e-06
115,5.75,6.237892313660823e-05,1.0090948020246055e-06
116,5.800000000000001,5.859711840362869e-05,1.012127268630552e-06
117,5.8500000000000005,5.473642439849775e-05,1.01471310222686e-06
118,5.9,5.109425709918647e-05,1.016853307172149e-06
